,Year,State_Name,Name,Start_Date,End_Date,Party
6,2011,A&N Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
12,2011,Chandigarh,Pawan Kumar Bansal,2009-05-22,2014-05-18,INC
23,2011,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
29,2011,Jammu & Kashmir,Omar Abdullah,2009-05-01,2015-08-01,JKNC
36,2011,Lakshadweep,Muhammed Hamdulla Sayeed,2009-05-18,2014-05-18,INC
43,2011,Puducherry,V. Vaithilingam,2008-04-09,2011-05-16,INC
94,2011,Andhra Pradesh,Sri. N.Kiran Kumar Reddy,2010-11-25,2014-02-28,INC
154,2011,Arunachal Pradesh,Dorjee Khandu,2009-10-23,2011-04-05,INC
155,2011,Arunachal Pradesh,Jarbom Gamlin,2011-05-05,2011-10-31,INC
156,2011,Arunachal Pradesh,Nabam Tuki,2011-01-11,2014-05-17,INC
234,2011,Assam,Shri Tarun Gogoi,2006-12-05,2011-05-16,INC
235,2011,Assam,Shri Tarun Gogoi,2011-05-17,2016-05-21,INC
253,2011,Bihar,Nitish Kumar,2005-11-24,2014-05-20,JD(U)
267,2011,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
315,2011,Goa,Shri Digambar Kamat,2007-08-06,2012-08-03,INC
398,2011,Gujarat,Shri Narendra Modi,2008-01-18,2013-01-22,BJP
472,2011,Haryana,Shri Bhupinder Singh Hooda,2009-10-25,2014-10-25,INC
486,2011,Himachal Pradesh,Prem Kumar Dhumal,2007-12-30,2012-12-25,BJP
558,2011,Jammu & Kashmir,Shri Omar Abdullah,2009-05-01,2015-08-01,JKN
576,2011,Jharkhand,Arjun Munda,2010-11-09,2013-01-18,BJP
658,2011,Karnataka,Dr B.S.YEDDYURAPPA,2008-05-30,2011-04-08,BJP
659,2011,Karnataka,Sri D.V.SADANANDA GOWDA,2011-05-08,2012-11-07,BJP
730,2011,Kerala,Shri. V. S. Achuthanandan,2006-05-18,2011-05-14,CPM
731,2011,Kerala,Shri. Oommen Chandy,2011-05-18,2016-05-20,INC
815,2011,Madhya Pradesh,Shri Shivraj Singh Chouhan,2008-12-12,2013-12-13,BJP
831,2011,Maharashtra,Prithviraj Chavan,2010-11-11,2014-09-26,INC
850,2011,Manipur,Okram Ibobi Singh,2002-07-03,2017-03-14,INC
916,2011,Meghalaya,Shri Mukul Sangma,2010-04-20,2013-05-03,INC
977,2011,Mizoram,Lal Thanhawla,2008-10-12,2013-11-12,INC
1048,2011,Nagaland,Neiphiu Rio,2008-12-03,2013-02-27,NPF
1119,2011,Odisha,Shri Naveen Patnaik,2009-05-21,2014-05-21,BJD
1133,2011,Punjab,Parkash Singh Badal,2007-01-03,2017-03-16,BJP
1204,2011,Rajasthan,Ashok Gehlot,2008-12-13,2013-12-13,INC
1260,2011,Sikkim,Pawan Kumar Chamling,2009-05-20,2014-05-21,SDF
1333,2011,Tamil Nadu,Dr. Kalaignar M. Karunanidhi,2006-05-13,2011-05-15,DMK
1334,2011,Tamil Nadu,Dr. Selvi J Jayalalithaa,2011-05-16,2014-09-27,ADMK
1408,2011,Tripura,Manik Sarkar,2008-10-03,2013-01-03,CPM
1505,2011,Uttar Pradesh,Ms. Mayawati,2007-05-13,2012-03-14,BSP
1528,2011,Uttarakhand,Dr.Ramesh Pokhriyal Nishank,2009-06-27,2011-10-09,BJP
1529,2011,Uttarakhand,Maj.General.B.C.Khanduri,2011-11-09,2012-03-13,BJP
1559,2011,West Bengal,Buddhadeb Bhattacharya,2000-06-11,2011-05-13,CPI
